epoch,train_loss,val_macro_f1,val_accuracy
1,1.6718544690067687,0.29437132599453236,0.38023284617290065
2,1.4039636740154882,0.31924620183965086,0.33911320287342084
3,1.3333421400652175,0.38143154501843757,0.43249938072826355
4,1.2471334374929428,0.4081470043474225,0.4587565023532326
5,1.152784814582309,0.3801082405659202,0.4114441416893733
6,1.1147265183729071,0.3308935487487846,0.3874163983155809
7,1.058003409022459,0.4411370313865395,0.45702254149120636
8,1.0211419130369555,0.41919048278120236,0.45206836759970276
9,1.0013259529937846,0.4334796714198618,0.47386673272231855
10,0.9691529649456119,0.4346411701512863,0.4429031459004211
11,0.9471081946742429,0.4394066948968405,0.4604904632152589
12,0.9430652995886287,0.4418790471726049,0.4614812979935596
1,2.016656100130055,0.22352252257792368,0.32821402031211294
2,1.712060024596185,0.21644131658585272,0.34183799851374785
3,1.598467464934313,0.22046577485944965,0.3373792420113946
4,1.5040343586615321,0.28241050572995396,0.3812236809512014
5,1.4273488456042138,0.38681887058706294,0.424820411196433
6,1.3460377322912518,0.3680759961023627,0.4409214763438197
7,1.3082257036714369,0.4057013589166965,0.46767401535793907
8,1.231628982095015,0.4136837385691355,0.45454545454545453
9,1.196772168725486,0.37642128816355314,0.4198662373049294
10,1.135281707489268,0.41181658168063917,0.4463710676244736
11,1.1075333206954696,0.42836755923200265,0.4604904632152589
12,1.097865375722528,0.4405630625345207,0.4624721327718603
