session_id,frame_index,target_x,target_y,target_flux,target_sky,comp_flux_sum,n_comps_ok,t_utc,MJD-OBS,airmass,TELALT,WEATHER,sky_level,CAMTEMP,target,rel_flux,norm_flux,target_only_norm,bjd_tdb
CoRoT-2__2026-08-09,1,387.9497120165559,218.60573216885476,13316.0,37.0,91388.0,8,2026-08-09 05:22:56.649000+00:00,61261.224,1.161177480764297,59.451,100,412.0,281.0,CoRoT-2,0.1457084081060971,0.9927652448378025,1.0498472454912782,2461261.7298135506
CoRoT-2__2026-08-09,2,384.7974654156625,220.9046330696453,13391.0,38.0,91195.0,8,2026-08-09 05:26:58.583000+00:00,61261.227,1.1597464548861525,59.571,100,413.0,281.0,CoRoT-2,0.14683919074510665,1.0004696849457284,1.0557603232482506,2461261.732813447
CoRoT-2__2026-08-09,3,384.5043757919933,219.80271063707596,13128.0,37.0,89608.0,8,2026-08-09 05:28:44.793000+00:00,61261.228,1.159200176920525,59.617,100,412.0,281.0,CoRoT-2,0.14650477635925363,0.9981911961202454,1.0350251305804672,2461261.733813412
CoRoT-2__2026-08-09,4,380.0389098752644,221.6731806105748,13338.0,35.0,91766.0,8,2026-08-09 05:30:31.115000+00:00,61261.23,1.1587498549423878,59.655,100,412.0,282.0,CoRoT-2,0.14534795022121483,0.9903093120265793,1.05158174829999,2461261.7358133425
CoRoT-2__2026-08-09,5,379.38122530434686,214.6345103209846,13213.0,35.0,90799.0,8,2026-08-09 05:33:15.944000+00:00,61261.231,1.158205877564313,59.701,100,412.0,282.0,CoRoT-2,0.14551922377999757,0.9914762620930119,1.041726618705036,2461261.7368133077
CoRoT-2__2026-08-09,6,380.67639662686577,214.4294566262039,13257.0,41.0,90178.0,8,2026-08-09 05:36:16.472000+00:00,61261.234,1.1577928234875206,59.736,100,413.0,280.0,CoRoT-2,0.14700924837543525,1.0016283504421408,1.0451956243224598,2461261.7398132035
CoRoT-2__2026-08-09,7,373.60703021656514,214.45534635213704,13345.0,37.0,91546.0,8,2026-08-09 05:39:15.174000+00:00,61261.236,1.1575806785347056,59.754,100,412.0,281.0,CoRoT-2,0.14577370939199966,0.9932101666369623,1.0521336355573077,2461261.741813134
CoRoT-2__2026-08-09,8,376.63201824870544,213.47595049976434,11505.0,39.0,80130.0,8,2026-08-09 05:42:15.728000+00:00,61261.238,1.1575571187238851,59.756,100,414.0,281.0,CoRoT-2,0.1435791838262823,0.9782580527619288,0.9070661279195822,2461261.7438130644
CoRoT-2__2026-08-09,9,381.49263645081544,214.02673848408395,11644.0,39.0,79461.0,8,2026-08-09 05:45:16.056000+00:00,61261.24,1.1577338750726225,59.741,100,414.0,281.0,CoRoT-2,0.1465372950252325,0.9984127578119276,0.9180250320291712,2461261.745812995
CoRoT-2__2026-08-09,10,385.52666254391943,212.89919154007094,13144.0,37.0,88959.0,8,2026-08-09 05:48:15.794000+00:00,61261.242,1.1581114011195446,59.709,100,412.0,281.0,CoRoT-2,0.14775345945885182,1.006698935647499,1.0362865871686213,2461261.7478129254
CoRoT-2__2026-08-09,11,383.5597320179792,213.31046302405562,11553.0,37.0,78575.0,8,2026-08-09 05:51:15.404000+00:00,61261.244,1.158690666032992,59.66,100,412.0,281.0,CoRoT-2,0.1470314985682469,1.0017799492304431,0.9108504976840446,2461261.749812856
