target,session_id,track_id,n_points,depth_pct,significance_sigma,median_flux,rms_ppt,expected_depth_pct,n_field_stars,field_p_value,field_sigma_95,field_sigma_median,depth_ratio
CoRoT-2,CoRoT-2__2026-08-16,786,85,2.084812929764846,5.279028627673599,1771.5,21.357630030916024,2.75,263,0.0038022813688212928,2.2539087962604873,0.39203035471863035,0.7581137926417622
CoRoT-2,CoRoT-2__2026-08-09,654,86,2.0020186275676806,5.276631639040271,1728.5,20.71543561567036,2.75,282,0.0035460992907801418,2.345843003162465,0.2578296935627411,0.7280067736609748
CoRoT-2,CoRoT-2__2026-08-09,715,86,1.7709070246455503,4.172141289127076,2272.5,22.092609994848072,2.75,282,0.0070921985815602835,2.345843003162465,0.2578296935627411,0.6439661907802001
CoRoT-2,CoRoT-2__2026-08-16,772,85,3.6958316297699767,3.9241282354468745,746.0,48.88704065075566,2.75,263,0.0076045627376425855,2.2539087962604873,0.39203035471863035,1.3439387744618096
CoRoT-2,CoRoT-2__2026-08-16,1019,85,9.167703088227128,3.911510797644009,2283.0,120.84599443483542,2.75,263,0.011406844106463879,2.2539087962604873,0.39203035471863035,3.333710213900774
CoRoT-2,CoRoT-2__2026-08-16,839,85,4.362063549702501,3.8735738360488323,2737.5,57.64320369002737,2.75,263,0.015209125475285171,2.2539087962604873,0.39203035471863035,1.586204927164546
CoRoT-2,CoRoT-2__2026-08-16,901,76,3.429483865836306,3.532884904161444,804.75,45.26924935431229,2.75,263,0.019011406844106463,2.2539087962604873,0.39203035471863035,1.2470850421222932
CoRoT-2,CoRoT-2__2026-08-16,1225,62,5.520793211049706,3.395370111590154,435.0,72.79531267306852,2.75,263,0.022813688212927757,2.2539087962604873,0.39203035471863035,2.0075611676544387
CoRoT-2,CoRoT-2__2026-08-16,107,81,11.743251284731306,3.238946143433591,1254.5,193.2985294401388,2.75,263,0.026615969581749048,2.2539087962604873,0.39203035471863035,4.270273194447747
CoRoT-2,CoRoT-2__2026-08-09,874,86,1.380036433566951,3.2216051821020444,2323.5,21.36064449441343,2.75,282,0.010638297872340425,2.345843003162465,0.2578296935627411,0.5018314303879822
CoRoT-2,CoRoT-2__2026-08-09,688,86,1.175162499971607,3.1570364222782867,1806.5,18.49089176561844,2.75,282,0.014184397163120567,2.345843003162465,0.2578296935627411,0.42733181817149346
CoRoT-2,CoRoT-2__2026-08-09,676,86,1.0212174603524475,3.0924933784632835,5727.0,16.383792350571493,2.75,282,0.01773049645390071,2.345843003162465,0.2578296935627411,0.37135180376452637
CoRoT-2,CoRoT-2__2026-08-16,987,85,2.061722528160006,2.9954325915977322,1322.5,34.434198611522575,2.75,263,0.030418250950570342,2.2539087962604873,0.39203035471863035,0.7497172829672749
CoRoT-2,CoRoT-2__2026-08-16,972,76,3.2286421999110817,2.934719424128554,596.0,50.63017083844423,2.75,263,0.034220532319391636,2.2539087962604873,0.39203035471863035,1.1740517090585751
CoRoT-2,CoRoT-2__2026-08-09,687,86,2.481157443768408,2.9297052902847707,1044.0,42.548801420485006,2.75,282,0.02127659574468085,2.345843003162465,0.2578296935627411,0.9022390704612392
CoRoT-2,CoRoT-2__2026-08-09,736,86,1.2483484714190356,2.891333661020444,2093.5,21.43655836716886,2.75,282,0.024822695035460994,2.345843003162465,0.2578296935627411,0.4539448986978311
CoRoT-2,CoRoT-2__2026-08-09,720,84,2.4967261559959537,2.83877442054323,707.5,43.43008713465148,2.75,282,0.028368794326241134,2.345843003162465,0.2578296935627411,0.907900420362165
CoRoT-2,CoRoT-2__2026-08-09,728,86,0.8912848818823936,2.7757288806745453,3981.0,15.931948495392565,2.75,282,0.031914893617021274,2.345843003162465,0.2578296935627411,0.3241035934117795
CoRoT-2,CoRoT-2__2026-08-09,285,86,0.7310485769972193,2.7511979700994345,4617.5,13.114611456206688,2.75,282,0.03546099290780142,2.345843003162465,0.2578296935627411,0.265835846180807
CoRoT-2,CoRoT-2__2026-08-09,731,86,1.9221583648615825,2.6942284200158193,1216.25,35.304939418384784,2.75,282,0.03900709219858156,2.345843003162465,0.2578296935627411,0.6989666781314846
CoRoT-2,CoRoT-2__2026-08-16,939,85,2.375821284168334,2.691704544494505,915.5,44.26089359347531,2.75,263,0.03802281368821293,2.2539087962604873,0.39203035471863035,0.8639350124248487
CoRoT-2,CoRoT-2__2026-08-16,909,85,5.091965765886435,2.6141414224008006,2127.5,94.23241029653262,2.75,263,0.04182509505703422,2.2539087962604873,0.39203035471863035,1.8516239148677947
CoRoT-2,CoRoT-2__2026-08-09,758,86,1.4099769653241216,2.5392821012080202,1536.75,27.182625167578635,2.75,282,0.0425531914893617,2.345843003162465,0.2578296935627411,0.5127188964814988
CoRoT-2,CoRoT-2__2026-08-16,871,85,0.7525791467931496,2.500505177701714,3908.5,14.951436878775773,2.75,263,0.045627376425855515,2.2539087962604873,0.39203035471863035,0.27366514428841804
CoRoT-2,CoRoT-2__2026-08-09,756,86,1.0279361130181903,2.4390978507568635,1709.5,20.757814454278023,2.75,282,0.04609929078014184,2.345843003162465,0.2578296935627411,0.37379495018843284
CoRoT-2,CoRoT-2__2026-08-09,124,86,1.6378112417683162,2.3726835795934442,1970.25,33.0960136258335,2.75,282,0.04964539007092199,2.345843003162465,0.2578296935627411,0.5955677242793876
CoRoT-2,CoRoT-2__2026-08-09,644,85,1.786027389486849,2.3476538536095855,842.0,36.756370673361396,2.75,282,0.05319148936170213,2.345843003162465,0.2578296935627411,0.6494645052679451
CoRoT-2,CoRoT-2__2026-08-09,588,86,1.229730499962391,2.311436844667179,1875.5,26.178081925162424,2.75,282,0.05673758865248227,2.345843003162465,0.2578296935627411,0.4471747272590513
CoRoT-2,CoRoT-2__2026-08-09,725,85,2.342831313235574,2.2686143325799484,717.0,50.32430779109114,2.75,282,0.06028368794326241,2.345843003162465,0.2578296935627411,0.8519386593583905
CoRoT-2,CoRoT-2__2026-08-09,793,85,1.7778543789470551,2.263763712296425,1082.0,38.046273192323646,2.75,282,0.06382978723404255,2.345843003162465,0.2578296935627411,0.6464925014352928
CoRoT-2,CoRoT-2__2026-08-16,642,85,1.1440128936165064,2.2632121113126518,1574.0,24.799636684352514,2.75,263,0.049429657794676805,2.2539087962604873,0.39203035471863035,0.4160046885878205
CoRoT-2,CoRoT-2__2026-08-09,862,81,4.171694387570684,2.256359980007251,383.0,88.13465252858835,2.75,282,0.0673758865248227,2.345843003162465,0.2578296935627411,1.5169797772984304
CoRoT-2,CoRoT-2__2026-08-16,908,84,1.7056828034820095,2.2546131867617847,1055.25,36.70269494629143,2.75,263,0.053231939163498096,2.2539087962604873,0.39203035471863035,0.6202482921752762
