track_id,x_first,y_first,median_flux,max_peak,persistence,session_id,in_ensemble,rms_ppt,n_points
69,492.4962974079264,54.85095050656303,387.3931579589844,503.0,0.9885057471264368,CoRoT-2__2026-08-09,False,12143.288780424078,86
76,315.9181993237984,64.10169994480948,579.1140747070312,4095.0,0.9885057471264368,CoRoT-2__2026-08-09,False,503383.4239260952,86
80,513.5224739239975,63.40442491720971,2442.568084716797,984.0,1.0,CoRoT-2__2026-08-09,False,3224.5087971602647,87
94,321.2859016599123,72.94984184612996,230.75257873535156,528.0,0.9195402298850575,CoRoT-2__2026-08-09,False,8428.439937633631,80
110,486.317706234225,85.93262016427126,249.08554077148438,488.0,0.9310344827586207,CoRoT-2__2026-08-09,False,10739.153811049062,81
123,46.9584469110684,99.08763318640175,1488.9701843261719,677.0,1.0,CoRoT-2__2026-08-09,False,4160.9091036472455,87
124,308.948765852843,98.90608406978232,1443.1042785644531,637.0,1.0,CoRoT-2__2026-08-09,False,3817.6780943033405,87
129,512.9890695654481,103.13945078701613,360.9835510253906,502.0,0.9770114942528736,CoRoT-2__2026-08-09,False,15332.108631889487,85
132,425.79362080643295,105.61256741775816,1413.0446472167969,522.0,1.0,CoRoT-2__2026-08-09,False,6318.661053543659,87
149,89.70422535211267,115.53990610328638,529.2384490966797,520.0,0.9885057471264368,CoRoT-2__2026-08-09,False,10107.048226502551,86
194,400.3927396879986,157.27607891606397,1142.1450805664062,950.0,1.0,CoRoT-2__2026-08-09,False,7867.995106105435,87
206,489.4453602590541,165.18538627381773,526.0789489746094,544.0,0.9770114942528736,CoRoT-2__2026-08-09,False,14665.780165214866,85
220,443.32255981060223,176.57218208328882,460.8256530761719,597.0,0.9770114942528736,CoRoT-2__2026-08-09,False,6761.5475171854505,85
242,291.19444444444446,196.56944444444446,328.9015808105469,469.0,0.9540229885057471,CoRoT-2__2026-08-09,False,7344.156842574163,83
254,579.7322298462627,211.66584766735048,310.79241943359375,527.0,0.9540229885057471,CoRoT-2__2026-08-09,False,50604.66193026855,82
267,129.56120546069212,218.95340185238527,2265.0,713.0,1.0,CoRoT-2__2026-08-09,False,4624.279270155263,87
284,571.3382776614357,238.44112415994425,670.3928070068359,701.0,0.9885057471264368,CoRoT-2__2026-08-09,False,58800.11159132028,86
285,64.13997204773804,237.7253202893886,4317.0,989.0,1.0,CoRoT-2__2026-08-09,True,1966.4668090090063,87
286,314.45945110250045,239.61785474376688,1627.07666015625,800.0,1.0,CoRoT-2__2026-08-09,False,20258.90722632968,87
308,353.12695547533093,261.71720818291215,212.18777465820312,520.0,0.8620689655172413,CoRoT-2__2026-08-09,False,44670.39741498136,75
317,220.1949152542373,271.01271186440675,376.0,486.0,0.9770114942528736,CoRoT-2__2026-08-09,False,12713.133282511855,85
