session_id,field_motion_px,max_step_px,total_dx,total_dy
TRES-3__2026-08-10,126.38375483339561,16.317838201406968,118.72512163455266,43.32665436712743
TRES-5__2026-08-26,105.28474816793796,4.0634526078086886,103.82503381450944,-17.4711347714477
TRES-5__2026-08-20,102.81926087011318,8.1099824675602,83.50049926031214,59.995558411894116
TRES-3__2026-08-27,101.90226139976313,6.591706945930699,101.88576006269346,-1.833787019507179
TRES-3__2026-08-31,87.9949220625964,23.53227252543972,86.57546685066303,15.741500830357982
TRES-5__2026-08-17,87.19140990383468,16.190626391720322,87.12526345177841,-3.3956486091358338
TRES-5__2026-08-29,81.2270256662716,16.378528846763082,63.99148251656835,-50.029190118578505
WASP-2__2026-08-24,72.53825041610398,10.480362818317948,-68.03289117395808,-25.165919254853097
HATP-10__2026-09-05,68.72951515238782,26.530032756042978,-7.839004671161629,-68.28100950372522
Qatar-1__2026-08-18,68.1749507566832,25.437983249170436,67.28369763563856,10.987626820753709
Qatar-1__2026-08-28,65.22008016523579,6.202494698898723,63.83168300682783,13.385630402623178
TRES-5__2026-09-01,61.59323534624093,4.1837629128064,59.878331831754686,-14.433018307467648
CoRoT-2__2026-08-09,58.91087997458561,16.47024633978483,53.38354267374705,-24.91363383732409
WASP-2__2026-08-11,40.87616213650484,17.35262639349336,-21.1036809876747,-35.00707471041088
Qatar-1__2026-08-21,35.660590823210995,7.527556619411761,34.56290379738841,-8.77971633670214
CoRoT-2__2026-08-16,35.652190324628314,6.879234461208138,7.920408835512372,-34.76126865955641
WASP-10__2026-08-08,31.00644972687231,6.350890840499274,-4.924499790233975,-30.61289314130642
TRES-5__2026-09-04,30.887169157889932,18.47682270023307,-9.755708519176277,-29.306029582271606
TRES-3__2026-08-14,22.105327490260777,6.573278748740783,13.476735083817562,-17.522075074952728
CoRoT-2__2026-08-23,15.014763303102553,26.851497702120923,1.7987603988121472,14.906628662305245
CoRoT-2__2026-08-30,4.9055163607543655,5.9947935693577215,0.4940693135556127,-4.88057233109309
TRES-1__2026-08-06,0.0,0.0,0.0,0.0
