n_stars,median_flux,median_rms_ppt,best_rms_ppt
278,8565.988677978516,16.022315588276168,4.761920233680298
277,2594.590118408203,18.952412295417858,7.8345520755560925
277,1592.8014068603516,24.412513273845455,12.617477260443495
277,1071.5374755859375,31.635986555913814,18.211470163712907
277,738.94677734375,40.287732783303596,23.988128078500367
277,561.9532165527344,47.6284403911223,27.5392352334937
277,435.08197021484375,56.734753079377086,32.92431814354196
277,322.7868347167969,64.80374981013513,40.269019651655
277,243.0,76.11418526150678,43.686708964436775
277,169.6832733154297,98.60197668210346,45.2480181495744
